Source,Target,Industry,Industrywise Weight,Source URL,Target URL,Origin
1,354,Miscellaneous,6,http://2011.buildconf.com/conference,http://apple.com/,External
1,354,Miscellaneous,6,http://2011.buildconf.com/conference,http://apple.com/,External
1,354,Miscellaneous,6,http://2011.buildconf.com/conference,http://apple.com/,External
2,3,News,7,http://2strokebuzz.com/,http://2strokebuzz.com/index.php,External
2,3,News,7,http://2strokebuzz.com/,http://2strokebuzz.com/index.php,External
2,3,News,7,http://2strokebuzz.com/,http://2strokebuzz.com/index.php,External
2,354,News,7,http://2strokebuzz.com/,http://apple.com/,External
2,354,News,7,http://2strokebuzz.com/,http://apple.com/,External
2,354,News,7,http://2strokebuzz.com/,http://apple.com/,External
4,5,Miscellaneous,6,http://9to5mac.com/,http://9to5mac.com/2010/11/15/big-announcement-from-itunes-tomorrow-cloud/,External
4,6,Miscellaneous,6,http://9to5mac.com/,http://9to5mac.com/2011/06/09/is-apple-recalling-verizon-ipad-2s/,External
4,7,Miscellaneous,6,http://9to5mac.com/,http://9to5mac.com/2011/10/20/apple-returns-homepage-to-normal-following-celebrate-steve-day-on-campus/,External
4,8,Miscellaneous,6,http://9to5mac.com/,http://9to5mac.com/2012/10/16/apple-has-reportedly-acquired-html-5-design-firm-particle-for-the-talent/,External
4,9,Miscellaneous,6,http://9to5mac.com/,http://9to5mac.com/2013/08/22/iphone-5s-box-photos-making-the-rounds-are-almost-certainly-fake/,External
4,10,Miscellaneous,6,http://9to5mac.com/,http://9to5mac.com/2013/11/06/iphone-and-ipad-stock-tracker-site-pulled-after-apple-issues-takedown-notice/,External
4,11,Miscellaneous,6,http://9to5mac.com/,http://9to5mac.com/2013/11/06/iphone-and-ipad-stock-tracker-site-pulled-after-apple-issues-takedown-notice/comment-page-1/,External
4,12,Miscellaneous,6,http://9to5mac.com/,http://9to5mac.com/2014/08/11/apple-shares-new-your-verse-ipad-campaigns-w-chinas-yaoband-detroits-slow-roll/,External
4,13,Miscellaneous,6,http://9to5mac.com/,http://9to5mac.com/2014/08/11/apple-shares-new-your-verse-ipad-campaigns-w-chinas-yaoband-detroits-slow-roll/comment-page-1/,External
4,13,Miscellaneous,6,http://9to5mac.com/,http://9to5mac.com/2014/08/11/apple-shares-new-your-verse-ipad-campaigns-w-chinas-yaoband-detroits-slow-roll/comment-page-1/,External
4,13,Miscellaneous,6,http://9to5mac.com/,http://9to5mac.com/2014/08/11/apple-shares-new-your-verse-ipad-campaigns-w-chinas-yaoband-detroits-slow-roll/comment-page-1/,External
4,13,Miscellaneous,6,http://9to5mac.com/,http://9to5mac.com/2014/08/11/apple-shares-new-your-verse-ipad-campaigns-w-chinas-yaoband-detroits-slow-roll/comment-page-1/,External
