Id,Industry,Industrywise Weight,Description,Origin
1,Miscellaneous,6,http://2011.buildconf.com/conference,External
2,News,7,http://2strokebuzz.com/,External
3,News,7,http://2strokebuzz.com/index.php,External
4,Miscellaneous,6,http://9to5mac.com/,External
5,Miscellaneous,6,http://9to5mac.com/2010/11/15/big-announcement-from-itunes-tomorrow-cloud/,External
6,Miscellaneous,6,http://9to5mac.com/2011/06/09/is-apple-recalling-verizon-ipad-2s/,External
7,Miscellaneous,6,http://9to5mac.com/2011/10/20/apple-returns-homepage-to-normal-following-celebrate-steve-day-on-campus/,External
8,Miscellaneous,6,http://9to5mac.com/2012/10/16/apple-has-reportedly-acquired-html-5-design-firm-particle-for-the-talent/,External
9,Miscellaneous,6,http://9to5mac.com/2013/08/22/iphone-5s-box-photos-making-the-rounds-are-almost-certainly-fake/,External
10,Miscellaneous,6,http://9to5mac.com/2013/11/06/iphone-and-ipad-stock-tracker-site-pulled-after-apple-issues-takedown-notice/,External
11,Miscellaneous,6,http://9to5mac.com/2013/11/06/iphone-and-ipad-stock-tracker-site-pulled-after-apple-issues-takedown-notice/comment-page-1/,External
12,Miscellaneous,6,http://9to5mac.com/2014/08/11/apple-shares-new-your-verse-ipad-campaigns-w-chinas-yaoband-detroits-slow-roll/,External
13,Miscellaneous,6,http://9to5mac.com/2014/08/11/apple-shares-new-your-verse-ipad-campaigns-w-chinas-yaoband-detroits-slow-roll/comment-page-1/,External
14,Miscellaneous,6,http://9to5mac.com/2014/12/14/apple-airs-new-ad-for-the-holidays-the-song/,External
15,Miscellaneous,6,http://9to5mac.com/2014/12/14/apple-airs-new-ad-for-the-holidays-the-song/comment-page-1/,External
16,Miscellaneous,6,http://9to5mac.com/2015/03/07/ios-8-how-to-use-siri-to-return-a-lost-iphone-to-their-owner/,External
17,Miscellaneous,6,http://9to5mac.com/2015/04/09/apple-watch-retail-launch/,External
18,Miscellaneous,6,http://9to5mac.com/category/mac/,External
19,Miscellaneous,6,http://9to5mac.com/category/mac/page/2/,External
20,Miscellaneous,6,http://9to5mac.com/tag/ad/,External
21,Miscellaneous,6,http://9to5mac.com/tag/al-gore/,External
22,Miscellaneous,6,http://9to5mac.com/tag/al-gore/feed/,External
23,Miscellaneous,6,http://9to5mac.com/tag/apple-com/feed/,External
24,Miscellaneous,6,http://9to5mac.com/tag/apple-product-tracker/feed/,External
25,Miscellaneous,6,http://9to5mac.com/tag/holiday/,External
26,Miscellaneous,6,http://9to5mac.com/tag/holiday/feed/,External
27,Miscellaneous,6,http://9to5mac.com/tag/how-to/feed/,External
28,Miscellaneous,6,http://9to5mac.com/tag/ryan-bricker/feed/,External
29,Miscellaneous,6,http://9to5mac.com/tag/settings/feed/,External
30,Miscellaneous,6,http://abhar-android.mihanblog.com/,External
31,Miscellaneous,6,http://abonnement.vincipark.com/Home/Renouvellement,External
32,Miscellaneous,6,http://about.me/,External
33,Miscellaneous,6,http://about.me/bambi.george,External
34,Miscellaneous,6,http://about.me/bornakatovic,External
35,Miscellaneous,6,http://about.me/yugimotta,External
36,Apple,1,http://www.apple.com/ipad/,Internal
37,Miscellaneous,6,http://activerain.trulia.com/product-reviews/technology-products/sub-category/business-management,External
38,Apple,1,http://advertising.apple.com/,Internal
39,Apple,1,http://advertising.apple.com/get-started/,Internal
40,Apple,1,http://advertising.apple.com/?cid=wwa-naus-seg-iad100604-000004&cp=brand&sr=sem&gclid=CO_UouuEpKgCFcgZ2godkQ4bIQ,Internal
41,Apple,1,http://advertising.apple.com/?cid=wwa-naus-seg-iad100604-000004&cp=brand&sr=sem&gclid=CO2XipXolaICFY9M5QodsFsjEA,Internal
42,Apple,1,http://advertising.apple.com/ad-showcase/,Internal
43,Apple,1,http://advertising.apple.com/benefits/,Internal
44,Apple,1,http://advertising.apple.com/choose-your-country/,Internal
45,Apple,1,http://advertising.apple.com/contact/,Internal
46,Miscellaneous,6,http://aktakom.com/news/index.php?news=27229,External
47,Miscellaneous,6,http://alistapart.com/,External
48,Miscellaneous,6,http://alistapart.com/blog/post/apple-and-responsive-design/,External
49,Miscellaneous,6,http://alistapart.com/blog/post/apple-and-responsive-design/M60o93H7pQ09L8X1t49cHY01Z5j4TT91fGfr/login-return,External
50,Apple,1,http://www.apple.com/watch/,Internal
51,Technology,11,http://alternativeto.net/software/itunes/,External
52,Miscellaneous,6,http://amazingribs.com/BBQ_buyers_guide/food_photography.html,External
53,Miscellaneous,6,http://annesejrskild.dk/2578_links/,External
54,Miscellaneous,6,http://appadvice.com/appnn/2014/01/happy-birthday-mac-apple-celebrates-with-thirty-years-of-innovation-video,External
55,Miscellaneous,6,http://apple.stackexchange.com/users/22171/charan,External
